TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,insurancePremium,totalClaimAmount,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,driverAge,timeAsCustomer,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,educationLevel,claimStatus,incidentSeverity,authoritiesInvolved,numBodilyInjuries,policeReportBool,INCIDENT_STATE,INCIDENT_CITY,incidentTime,AGENT_ID,VENDOR_ID
2020-06-01 00:00:00,TXN00000008,A00004301,PLC00002925,2018-12-30,2020-05-14,2020-05-19,Motor,83.77,8000,Maryalice Martinez,6 Little Country Place,,Savannah,GA,31406,791-66-5539,Y,35,97,Y,3,L,Rent,MI,89467431,ZLMN59372702463649,High School,A,Total Loss,Police,0,1,FL,Panama City Beach,10,AGENT00152,VNDR00326
2020-06-01 00:00:00,TXN00000009,A00004671,PLC00006886,2019-06-27,2020-05-21,2020-05-26,Motor,82.14,5000,Nicholas Hamilton,642 South 2nd Street,#608,Louisville,KY,40202,427-41-7221,N,27,118,Y,4,H,Mortgage,MI,107890252,EVZR61264221554624,Bachelor,A,Major Loss,Police,0,1,AZ,Glendale,22,AGENT00450,VNDR00437
2020-06-01 00:00:00,TXN00000012,A00006313,PLC00002139,2016-07-22,2020-05-21,2020-05-26,Motor,101.15,8000,Patricia Garrett,6721 Boundary Run,,Nashville,TN,37221,224-80-1633,Y,42,39,Y,2,H,Own,HI,11697253,YGZM08271540598654,High School,D,Major Loss,Ambulance,1,1,CT,Manchester,3,AGENT00288,
2020-06-01 00:00:00,TXN00000016,A00008033,PLC00008152,2011-01-25,2020-05-12,2020-05-17,Motor,128.73,9000,William Halcomb,5124 E Street Southeast,,Washington,DC,20019,142-09-4530,Y,57,48,Y,2,L,Rent,LI,115671968,KNLE94705483907630,High School,A,Minor Loss,Police,0,1,AR,Fayetteville,22,AGENT00608,VNDR00051
2020-06-01 00:00:00,TXN00000019,A00009265,PLC00000619,2017-11-03,2020-05-27,2020-05-28,Motor,116.55,8000,Marshall Worm,119 Oakland Street,,Manchester,CT,6042,848-09-7847,N,45,69,Y,4,H,Mortgage,MI,117427424,WGFI36482098909043,High School,A,Total Loss,Ambulance,0,1,MA,Fitchburg,20,AGENT00994,VNDR00107
2020-06-02 00:00:00,TXN00000042,A00008902,PLC00006704,2015-07-06,2020-05-20,2020-05-25,Motor,89.11,2000,Dorothy James,161 Creek Road,,Middlebury,VT,5753,070-72-6085,Y,62,66,Y,4,H,Own,HI,101768063,DNIH58931093485640,Masters,A,Minor Loss,Police,0,1,AK,Anchorage,14,AGENT00622,VNDR00560
2020-06-02 00:00:00,TXN00000047,A00000134,PLC00002112,2010-12-09,2020-05-26,2020-05-28,Motor,117.72,7000,Harold Garcia,1004 Bellflower Street,,Livermore,CA,94551,089-20-6131,N,31,39,Y,7,L,Rent,MI,66376794,SVBH69026302599270,High School,D,Major Loss,Police,0,0,CO,Arvada,0,AGENT00642,
2020-06-02 00:00:00,TXN00000050,A00004589,PLC00003093,2016-05-07,2020-05-23,2020-05-26,Motor,116.99,10000,Travis Louis,6988 West Blackhawk Drive,,Glendale,AZ,85308,099-80-2815,N,51,88,Y,7,M,Own,MI,60549064,KMUD72296439165444,College,A,Minor Loss,Ambulance,0,0,AZ,Glendale,13,AGENT00697,VNDR00488
2020-06-02 00:00:00,TXN00000053,A00009041,PLC00009146,2013-05-27,2020-05-29,2020-05-30,Motor,82.82,9000,Wanda Ellison,812 Southwest 151st Street,,Oklahoma City,OK,73170,690-70-2051,N,43,34,Y,7,L,Mortgage,MI,122837245,GOHK04433169519680,College,A,Major Loss,Ambulance,0,0,AK,Anchorage,21,AGENT00293,VNDR00025
2020-06-02 00:00:00,TXN00000057,A00002089,PLC00009114,2010-07-02,2020-05-19,2020-05-24,Motor,92.71,2000,Antony Ender,1418 Paddocks Court,,Crownsville,MD,21032,697-38-5325,N,47,102,Y,2,H,Mortgage,MI,72406182,DWQY63421510919755,High School,A,Total Loss,Police,1,1,CA,Jackson,7,AGENT00410,VNDR00358
2020-06-03 00:00:00,TXN00000079,A00002003,PLC00004274,2013-08-26,2020-05-22,2020-05-27,Motor,100.14,7000,Carlos Montello,11 Adams Street,,Arlington,MA,2474,272-67-3130,Y,33,36,Y,6,L,Mortgage,MI,70808151,AQSW31408853293828,High School,A,Major Loss,Police,1,1,CA,Oakland,15,AGENT00094,
2020-06-03 00:00:00,TXN00000085,A00002691,PLC00000988,2016-11-25,2020-05-14,2020-05-19,Motor,109.33,6000,Jimmie Herbert,1109 East Glenn Lane,,Fayetteville,AR,72703,179-57-6712,Y,50,69,Y,6,L,Rent,HI,55087874,TSKD01439997678225,Bachelor,A,Total Loss,,1,1,FL,Youngstown,0,AGENT00304,VNDR00077
2020-06-03 00:00:00,TXN00000086,A00007463,PLC00005994,2014-07-13,2020-05-28,2020-05-30,Motor,126.63,1000,James Miles,2505 Walker Lane,,Nashville,TN,37207,011-48-0223,Y,34,35,Y,4,L,Mortgage,HI,19193047,FLAM36431792451626,Bachelor,A,Major Loss,Police,0,1,CO,Arvada,9,AGENT00167,VNDR00541
2020-06-03 00:00:00,TXN00000088,A00009910,PLC00005185,2011-01-31,2020-05-21,2020-05-26,Motor,82.0,10000,Tasha Bolds,7095 Gladiola Street,,Arvada,CO,80004,756-36-8621,Y,61,21,Y,5,L,Own,MI,60112527,TKHQ65303425843472,College,A,Minor Loss,,0,1,FL,Lynn Haven,4,AGENT00001,VNDR00394
2020-06-04 00:00:00,TXN00000096,A00006240,PLC00007252,2014-07-01,2020-05-26,2020-05-29,Motor,116.8,9000,Brent Fly,1710 Massachusetts Avenue Southeast,,Washington,DC,20003,625-60-3268,N,55,64,Y,5,L,Rent,HI,17340229,AFOX71534860996404,MD,A,Total Loss,Ambulance,0,1,AK,Anchorage,13,AGENT00482,
2020-06-04 00:00:00,TXN00000102,A00007330,PLC00009936,2019-03-07,2020-05-15,2020-05-20,Motor,136.47,1000,Bernice Santomauro,410 West 89th Avenue,,Anchorage,AK,99515,459-94-0130,Y,50,114,N,3,L,Mortgage,MI,34660791,DRQM30517663632740,Bachelor,A,Total Loss,Ambulance,0,1,AZ,Glendale,23,AGENT00691,
2020-06-04 00:00:00,TXN00000103,A00009946,PLC00002086,2016-10-20,2020-05-16,2020-05-21,Motor,127.87,7000,William Wilson,7758 Betty Louise Drive,,Panama City,FL,32404,686-63-6813,N,39,72,N,5,M,Own,MI,44270838,SDXY13641574986741,MD,A,Total Loss,,1,1,AL,Montgomery,8,AGENT00198,VNDR00344
2020-06-04 00:00:00,TXN00000112,A00001480,PLC00005653,2019-06-16,2020-05-20,2020-05-25,Motor,134.55,6000,Ida Nam,130 Carolina Cherry Circle,,Pooler,GA,31322,456-75-3361,Y,57,51,Y,5,L,Mortgage,HI,87170610,GLEC40810031443204,High School,A,Major Loss,Ambulance,1,1,AK,Anchorage,0,AGENT00028,VNDR00423
