TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
2020-06-01 00:00:00,TXN00000001,A00003822,PLC00008468,2015-06-23,2020-05-16,2020-05-21,Health,157.13,9000,Christopher Demarest,7701 West Saint John Road,#2010,Glendale,AZ,85308,087-11-1946,Y,54,89,Y,3,L,Own,LI,109134974,HXJP58258181908465,Bachelor,A,Major Loss,Police,0,1,GA,Savannah,4,AGENT00413,VNDR00556
2020-06-01 00:00:00,TXN00000002,A00008149,PLC00009594,2018-04-21,2020-05-13,2020-05-18,Property,141.71,26000,Ricardo Gatlin,8595 West 81st Drive,,Arvada,CO,80005,685-33-3536,N,61,80,Y,4,L,Rent,MI,040125819,JUND46859540983731,Bachelor,A,Total Loss,Ambulance,1,0,AL,Montgomery,0,AGENT00769,VNDR00592
2020-06-01 00:00:00,TXN00000003,A00003172,PLC00007969,2019-10-03,2020-05-21,2020-05-26,Property,157.24,13000,Lashawn Engles,637 Britannia Drive,,Vallejo,CA,94591,378-36-0672,N,47,68,Y,6,L,Rent,MI,099513168,WGZZ90128415227650,PhD,A,Total Loss,Police,0,1,CO,Grand Junction,19,AGENT00883,VNDR00031
2020-06-01 00:00:00,TXN00000004,A00007572,PLC00009292,2016-11-29,2020-05-14,2020-05-19,Health,172.87,16000,Steven Bassett,2803 River Drive,,Thunderbolt,GA,31404,669-92-1861,Y,36,16,Y,7,L,Mortgage,MI,018429110,WIKE91555436351397,Masters,A,Minor Loss,Ambulance,0,0,GA,Savannah,12,AGENT00278,VNDR00075
2020-06-01 00:00:00,TXN00000005,A00008173,PLC00000204,2011-12-26,2020-05-17,2020-05-22,Travel,88.53,3000,Jason Rodriguez,7573 National Drive,,Livermore,CA,94550,703-40-1033,Y,51,16,Y,2,M,Rent,HI,070752391,VYJW71311537294027,Masters,A,Major Loss,Police,0,1,TN,Nashville,18,AGENT00636,VNDR00472
2020-06-01 00:00:00,TXN00000006,A00003571,PLC00007244,2012-12-28,2020-05-20,2020-05-25,Life,87.02,63000,Terrance Han,5275 North 59th Avenue,,Glendale,AZ,85301,059-08-4065,N,42,38,Y,2,M,Rent,MI,124246313,TMDB19464299963687,College,A,Major Loss,Ambulance,0,1,AZ,Glendale,0,AGENT00402,
2020-06-01 00:00:00,TXN00000007,A00007245,PLC00002796,2012-10-26,2020-05-13,2020-05-18,Health,197.23,3000,Dennis Johnson,5119 Marla Drive,,Panama City,FL,32404,539-25-2348,Y,61,20,Y,7,L,Rent,MI,072461648,ZCMU49563664563577,NA,A,Major Loss,Police,1,1,CT,Manchester,10,AGENT00322,VNDR00150
2020-06-01 00:00:00,TXN00000008,A00004301,PLC00002925,2018-12-30,2020-05-14,2020-05-19,Motor,83.77,8000,Maryalice Martinez,6 Little Country Place,,Savannah,GA,31406,791-66-5539,Y,35,97,Y,3,L,Rent,MI,089467431,ZLMN59372702463649,High School,A,Total Loss,Police,0,1,FL,Panama City Beach,10,AGENT00152,VNDR00326
2020-06-01 00:00:00,TXN00000009,A00004671,PLC00006886,2019-06-27,2020-05-21,2020-05-26,Motor,82.14,5000,Nicholas Hamilton,642 South 2nd Street,#608,Louisville,KY,40202,427-41-7221,N,27,118,Y,4,H,Mortgage,MI,107890252,EVZR61264221554624,Bachelor,A,Major Loss,Police,0,1,AZ,Glendale,22,AGENT00450,VNDR00437
2020-06-01 00:00:00,TXN00000010,A00002020,PLC00007657,2015-12-19,2020-05-15,2020-05-20,Travel,71.29,4000,Nicholas Honokaupu,1914 Stratford Downs Drive,,Montgomery,AL,36117,722-69-3392,Y,61,119,Y,4,L,Rent,HI,016215148,UXQB38236110828938,PhD,A,Major Loss,None,0,0,CA,San Leandro,4,AGENT00682,
2020-06-01 00:00:00,TXN00000011,A00007952,PLC00003007,2019-03-30,2020-05-20,2020-05-25,Life,61.45,92000,Janet Watts,200 Redwood Road,,Manchester,CT,06040,233-66-3524,N,59,14,Y,7,M,Mortgage,MI,058804083,CQZQ73037026635053,Masters,A,Major Loss,Ambulance,1,1,MD,Crofton,23,AGENT01091,VNDR00163
2020-06-01 00:00:00,TXN00000012,A00006313,PLC00002139,2016-07-22,2020-05-21,2020-05-26,Motor,101.15,8000,Patricia Garrett,6721 Boundary Run,,Nashville,TN,37221,224-80-1633,Y,42,39,Y,2,H,Own,HI,011697253,YGZM08271540598654,High School,D,Major Loss,Ambulance,1,1,CT,Manchester,3,AGENT00288,
2020-06-01 00:00:00,TXN00000013,A00003693,PLC00007839,2019-06-12,2020-05-24,2020-05-27,Health,157.95,11000,Lisa Rosario,12870 Old Seward Highway,#STE 000105,Anchorage,AK,99515,115-30-1247,Y,57,118,Y,3,M,Mortgage,LI,074438433,NAUY34845981013549,Bachelor,A,Major Loss,None,0,1,KY,Louisville,22,AGENT00015,VNDR00191
2020-06-01 00:00:00,TXN00000014,A00007988,PLC00002521,2020-01-29,2020-05-18,2020-05-23,Life,64.16,51000,Felicita Stoughton,110 Oxford Road,,Savannah,GA,31419,170-28-1062,N,31,118,Y,7,L,Own,LI,064537739,GIOA39230059052323,High School,A,Total Loss,Ambulance,1,0,AK,Anchorage,0,AGENT01094,
2020-06-01 00:00:00,TXN00000015,A00005617,PLC00007011,2015-06-08,2020-05-20,2020-05-25,Mobile,6.76,700,David Pennington,210 Seaman,,McCrory,AR,72101,519-11-2464,Y,55,90,Y,6,L,Mortgage,HI,093703880,LDQH95350551363442,PhD,A,Major Loss,Police,1,1,CO,Arvada,11,AGENT00324,VNDR00135
